Tool Handler,User Intent,Dynamic Input (Added to Common Prompt),Exact LLM Output Expected
handleEmergencyFeeling,something feels wrong with the car (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>handleEmergencyFeeling()</TOOL>
- <TOOL>setSeatHeater(LEVEL)</TOOL>

[System Context: Speed=0mph, DriverTemp=80F, PassTemp=80F, SeatHeat=3, AC=OFF, Fan=4, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=3, Time=Night, Media=Playing]

User: What about the something feels wrong with the car?",Good evening. I've evaluated the vehicle signals and prepared safety recommendations. <TOOL>handleEmergencyFeeling()</TOOL>
handleEmergencyFeeling,something feels wrong with the car (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>handleEmergencyFeeling()</TOOL>
- <TOOL>turnOnAutoClimate()</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=OFF, Fan=5, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=2, Time=Evening, Media=Playing]

User: Please help me with the something feels wrong with the car.","I've evaluated the vehicle signals and prepared safety recommendations. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>handleEmergencyFeeling()</TOOL>"
handleEmergencyFeeling,something feels wrong with the car (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>handleEmergencyFeeling()</TOOL>
- <TOOL>startNavigationTo(""PLACE_NAME"")</TOOL>

[System Context: Speed=65mph, DriverTemp=70F, PassTemp=70F, SeatHeat=1, AC=ON, Fan=3, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=3, Time=Evening, Media=Paused]

User: I need to check the something feels wrong with the car.",<TOOL>handleEmergencyFeeling()</TOOL>
enableAdaptiveNightMode,night driving is difficult (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>enableAdaptiveNightMode()</TOOL>
- <TOOL>search(search_term)</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=1, AC=ON, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=2, Time=Afternoon, Media=Paused]

User: I need to check the night driving is difficult.",Adaptive night driving mode is now enabled. <TOOL>enableAdaptiveNightMode()</TOOL>
enableAdaptiveNightMode,night driving is difficult (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>enableAdaptiveNightMode()</TOOL>
- <TOOL>setVolumeLevel(VAL)</TOOL>

[System Context: Speed=0mph, DriverTemp=65F, PassTemp=65F, SeatHeat=2, AC=ON, Fan=3, HVAC=ON | DriverMood=Tired / Yawning, Occupants=2, Time=Afternoon, Media=Playing]

User: I need to check the night driving is difficult.","Adaptive night driving mode is now enabled. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>enableAdaptiveNightMode()</TOOL>"
enableAdaptiveNightMode,night driving is difficult (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>enableAdaptiveNightMode()</TOOL>
- <TOOL>turnOffCabinLight()</TOOL>

[System Context: Speed=85mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=OFF, Fan=5, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=3, Time=Morning, Media=Playing]

User: I need to check the night driving is difficult.",<TOOL>enableAdaptiveNightMode()</TOOL>
prepareForAirportTrip,going to the airport (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>prepareForAirportTrip()</TOOL>
- <TOOL>playMusic(SONG)</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=0, AC=ON, Fan=1, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=4, Time=Night, Media=Paused]

User: I need to check the going to the airport.",Good evening. I've prepared navigation and settings for your airport trip. <TOOL>prepareForAirportTrip()</TOOL>
prepareForAirportTrip,going to the airport (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>prepareForAirportTrip()</TOOL>
- <TOOL>turnOffCabinLight()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=3, AC=ON, Fan=3, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=2, Time=Night, Media=Paused]

User: Please help me with the going to the airport.","Good evening. I've prepared navigation and settings for your airport trip. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>prepareForAirportTrip()</TOOL>"
prepareForAirportTrip,going to the airport (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>prepareForAirportTrip()</TOOL>
- <TOOL>setDriverTemperature(VAL)</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=4, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=2, Time=Night, Media=Paused]

User: I need to check the going to the airport.",<TOOL>prepareForAirportTrip()</TOOL>
explainLowRange,why is my range low (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>explainLowRange()</TOOL>
- <TOOL>turnOffAutoClimate()</TOOL>

[System Context: Speed=0mph, DriverTemp=70F, PassTemp=70F, SeatHeat=2, AC=ON, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=1, Time=Morning, Media=Paused]

User: Please help me with the why is my range low.",Good morning! I've analyzed possible reasons for the lower range. <TOOL>explainLowRange()</TOOL>
explainLowRange,why is my range low (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>explainLowRange()</TOOL>
- <TOOL>setVolumeLevel(VAL)</TOOL>

[System Context: Speed=65mph, DriverTemp=80F, PassTemp=80F, SeatHeat=3, AC=ON, Fan=2, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=1, Time=Night, Media=Playing]

User: What about the why is my range low?","Good evening. I've analyzed possible reasons for the lower range. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>explainLowRange()</TOOL>"
explainLowRange,why is my range low (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>explainLowRange()</TOOL>
- <TOOL>enhanceNiceEvening()</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=3, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=4, Time=Morning, Media=Paused]

User: Can we adjust the why is my range low?",<TOOL>explainLowRange()</TOOL>
answerVehicleIdentity,what model is this (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>answerVehicleIdentity()</TOOL>
- <TOOL>prepareForElderlyPassengers()</TOOL>

[System Context: Speed=65mph, DriverTemp=70F, PassTemp=70F, SeatHeat=1, AC=OFF, Fan=2, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Morning, Media=Playing]

User: I need to check the what model is this.",Good morning! I've checked the vehicle identity. <TOOL>answerVehicleIdentity()</TOOL>
answerVehicleIdentity,what model is this (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>answerVehicleIdentity()</TOOL>
- <TOOL>turnOnAC()</TOOL>

[System Context: Speed=0mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=2, HVAC=ON | DriverMood=Tired / Yawning, Occupants=1, Time=Afternoon, Media=Unknown]

User: Please help me with the what model is this.","I've checked the vehicle identity. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>answerVehicleIdentity()</TOOL>"
answerVehicleIdentity,what model is this (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>answerVehicleIdentity()</TOOL>
- <TOOL>turnOffDefroster()</TOOL>

[System Context: Speed=65mph, DriverTemp=75F, PassTemp=75F, SeatHeat=0, AC=OFF, Fan=5, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=1, Time=Evening, Media=Unknown]

User: What about the what model is this?",<TOOL>answerVehicleIdentity()</TOOL>
playMusic,listen (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>playMusic(SONG)</TOOL>
- <TOOL>adjustBgmForSituation()</TOOL>

[System Context: Speed=30mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=ON, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=1, Time=Evening, Media=Playing]

User: What about the listen?",Great choice — putting that on for you! I'll pause your media. <TOOL>playMusic(Bohemian Rhapsody)</TOOL>
playMusic,listen (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>playMusic(SONG)</TOOL>
- <TOOL>checkVehicleState()</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=0, AC=OFF, Fan=5, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=1, Time=Night, Media=Playing]

User: Please help me with the listen.","Good evening. Great choice — putting that on for you! I'll pause your media. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>playMusic(Bohemian Rhapsody)</TOOL>"
playMusic,listen (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>playMusic(SONG)</TOOL>
- <TOOL>protectFromPollutedAir()</TOOL>

[System Context: Speed=65mph, DriverTemp=65F, PassTemp=65F, SeatHeat=3, AC=OFF, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=4, Time=Night, Media=Unknown]

User: Please help me with the listen.",<TOOL>playMusic(Bohemian Rhapsody)</TOOL>
pauseMusic,pause music (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>pauseMusic()</TOOL>
- <TOOL>protectFromPollutedAir()</TOOL>

[System Context: Speed=30mph, DriverTemp=60F, PassTemp=60F, SeatHeat=3, AC=ON, Fan=4, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=1, Time=Night, Media=Paused]

User: Can we adjust the pause music?",Good evening. I've paused the music. <TOOL>pauseMusic()</TOOL>
pauseMusic,pause music (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>pauseMusic()</TOOL>
- <TOOL>optimizeEnergyForRange()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=ON, Fan=4, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=4, Time=Morning, Media=Playing]

User: What about the pause music?","Good morning! I've paused the music. I'll pause your media. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>pauseMusic()</TOOL>"
pauseMusic,pause music (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>pauseMusic()</TOOL>
- <TOOL>turnOffRecirculation()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=3, AC=OFF, Fan=4, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=1, Time=Night, Media=Paused]

User: I need to check the pause music.",<TOOL>pauseMusic()</TOOL>
stopMusic,stop music (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>stopMusic()</TOOL>
- <TOOL>prevTrack()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=0, AC=ON, Fan=1, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=4, Time=Night, Media=Paused]

User: Please stop music.",Good evening. I've stopped the music. <TOOL>stopMusic()</TOOL>
stopMusic,stop music (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>stopMusic()</TOOL>
- <TOOL>setAllWindowsPosition()</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=3, HVAC=ON | DriverMood=Tired / Yawning, Occupants=3, Time=Morning, Media=Paused]

User: Can you stop music?","Good morning! I've stopped the music. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>stopMusic()</TOOL>"
stopMusic,stop music (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>stopMusic()</TOOL>
- <TOOL>prepareForImportantMeeting()</TOOL>

[System Context: Speed=30mph, DriverTemp=60F, PassTemp=60F, SeatHeat=0, AC=ON, Fan=4, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=4, Time=Evening, Media=Playing]

User: Hey, stop music.",<TOOL>stopMusic()</TOOL>
nextTrack,next song (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>nextTrack()</TOOL>
- <TOOL>handleDriverFatigue(ALERT_LEVEL)</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=0, AC=ON, Fan=1, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=4, Time=Afternoon, Media=Paused]

User: Please help me with the next song.",I've skipped to the next track. <TOOL>nextTrack()</TOOL>
nextTrack,next song (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>nextTrack()</TOOL>
- <TOOL>turnOffDefroster()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=ON, Fan=3, HVAC=ON | DriverMood=Tired / Yawning, Occupants=2, Time=Morning, Media=Paused]

User: Please help me with the next song.","Good morning! I've skipped to the next track. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>nextTrack()</TOOL>"
nextTrack,next song (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>nextTrack()</TOOL>
- <TOOL>decreasePassengerTemperature()</TOOL>

[System Context: Speed=30mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=ON, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=3, Time=Evening, Media=Playing]

User: I need to check the next song.",<TOOL>nextTrack()</TOOL>
prevTrack,previous song (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>prevTrack()</TOOL>
- <TOOL>setEnergeticCabinLighting()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=OFF, Fan=4, HVAC=ON | DriverMood=Neutral / Focused, Occupants=1, Time=Afternoon, Media=Playing]

User: I need to check the previous song.",I've gone back to the previous track. <TOOL>prevTrack()</TOOL>
prevTrack,previous song (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>prevTrack()</TOOL>
- <TOOL>optimizeEnergyForRange()</TOOL>

[System Context: Speed=85mph, DriverTemp=75F, PassTemp=75F, SeatHeat=1, AC=ON, Fan=4, HVAC=ON | DriverMood=Tired / Yawning, Occupants=1, Time=Evening, Media=Playing]

User: What about the previous song?","I've gone back to the previous track. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>prevTrack()</TOOL>"
prevTrack,previous song (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>prevTrack()</TOOL>
- <TOOL>protectFromPollutedAir()</TOOL>

[System Context: Speed=65mph, DriverTemp=60F, PassTemp=60F, SeatHeat=2, AC=ON, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=2, Time=Morning, Media=Unknown]

User: What about the previous song?",<TOOL>prevTrack()</TOOL>
setVolumeLevel,increase volume (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>setVolumeLevel(VAL)</TOOL>
- <TOOL>setTemperature(VAL)</TOOL>

[System Context: Speed=85mph, DriverTemp=70F, PassTemp=70F, SeatHeat=1, AC=ON, Fan=1, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=4, Time=Evening, Media=Unknown]

User: Can you increase volume?",I've adjusted the volume. <TOOL>setVolumeLevel(72)</TOOL>
setVolumeLevel,increase volume (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>setVolumeLevel(VAL)</TOOL>
- <TOOL>getWeather(CITY)</TOOL>

[System Context: Speed=30mph, DriverTemp=70F, PassTemp=70F, SeatHeat=1, AC=OFF, Fan=5, HVAC=ON | DriverMood=Tired / Yawning, Occupants=3, Time=Afternoon, Media=Unknown]

User: Please increase volume.","I've adjusted the volume. I'll lower the fan speed so you can hear better. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>setVolumeLevel(72)</TOOL>"
setVolumeLevel,increase volume (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>setVolumeLevel(VAL)</TOOL>
- <TOOL>getWeather(CITY)</TOOL>

[System Context: Speed=0mph, DriverTemp=80F, PassTemp=80F, SeatHeat=0, AC=OFF, Fan=5, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=1, Time=Evening, Media=Unknown]

User: Please increase volume.",<TOOL>setVolumeLevel(72)</TOOL>
callContact,dial (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>callContact(NAME)</TOOL>
- <TOOL>setPassengerTemperature(VAL)</TOOL>

[System Context: Speed=65mph, DriverTemp=70F, PassTemp=70F, SeatHeat=0, AC=ON, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Morning, Media=Unknown]

User: Please help me with the dial.",Good morning! Opening the dialer for you now. I'll lower the fan speed so you can hear better. <TOOL>callContact(Mom)</TOOL>
callContact,dial (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>callContact(NAME)</TOOL>
- <TOOL>getWeather(CITY)</TOOL>

[System Context: Speed=30mph, DriverTemp=70F, PassTemp=70F, SeatHeat=3, AC=ON, Fan=4, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=4, Time=Afternoon, Media=Playing]

User: I need to check the dial.","Opening the dialer for you now. I'll lower the fan speed so you can hear better. I'll pause your media. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>callContact(Mom)</TOOL>"
callContact,dial (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>callContact(NAME)</TOOL>
- <TOOL>prepareForAirportTrip()</TOOL>

[System Context: Speed=85mph, DriverTemp=70F, PassTemp=70F, SeatHeat=1, AC=ON, Fan=2, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=1, Time=Night, Media=Paused]

User: Can we adjust the dial?",<TOOL>callContact(Mom)</TOOL>
sendText,text (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>sendText(NAME,MSG)</TOOL>
- <TOOL>suggestUmbrellaIfRainy()</TOOL>

[System Context: Speed=0mph, DriverTemp=65F, PassTemp=65F, SeatHeat=2, AC=OFF, Fan=3, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=2, Time=Evening, Media=Playing]

User: Please help me with the text.","I've sent your message. <TOOL>sendText(Mom,I am driving)</TOOL>"
sendText,text (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>sendText(NAME,MSG)</TOOL>
- <TOOL>setAirflowDirection(direction)</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=ON, Fan=3, HVAC=ON | DriverMood=Tired / Yawning, Occupants=4, Time=Morning, Media=Unknown]

User: What about the text?","Good morning! I've sent your message. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>sendText(Mom,I am driving)</TOOL>"
sendText,text (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>sendText(NAME,MSG)</TOOL>
- <TOOL>suggestAlternateRoute()</TOOL>

[System Context: Speed=30mph, DriverTemp=70F, PassTemp=70F, SeatHeat=0, AC=OFF, Fan=1, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=4, Time=Evening, Media=Playing]

User: Can we adjust the text?","<TOOL>sendText(Mom,I am driving)</TOOL>"
remember,remember (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>remember(FACT)</TOOL>
- <TOOL>increaseTemperature(zone)</TOOL>

[System Context: Speed=85mph, DriverTemp=75F, PassTemp=75F, SeatHeat=0, AC=OFF, Fan=3, HVAC=ON | DriverMood=Neutral / Focused, Occupants=3, Time=Evening, Media=Unknown]

User: What about the remember?",I've saved that information. <TOOL>remember(I like blue)</TOOL>
remember,remember (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>remember(FACT)</TOOL>
- <TOOL>prepareForAirportTrip()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=OFF, Fan=1, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=3, Time=Morning, Media=Playing]

User: Please help me with the remember.","Good morning! I've saved that information. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>remember(I like blue)</TOOL>"
remember,remember (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>remember(FACT)</TOOL>
- <TOOL>suggestOptimizedChargingRate()</TOOL>

[System Context: Speed=0mph, DriverTemp=65F, PassTemp=65F, SeatHeat=2, AC=ON, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=2, Time=Night, Media=Playing]

User: Can we adjust the remember?",<TOOL>remember(I like blue)</TOOL>
getWeather,weather (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>getWeather(CITY)</TOOL>
- <TOOL>checkAllWindowsClosed()</TOOL>

[System Context: Speed=30mph, DriverTemp=60F, PassTemp=60F, SeatHeat=1, AC=ON, Fan=3, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=3, Time=Evening, Media=Paused]

User: Can we adjust the weather?",Sure thing! <TOOL>getWeather(Seattle)</TOOL>
getWeather,weather (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>getWeather(CITY)</TOOL>
- <TOOL>prepareForElderlyPassengers()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=2, AC=OFF, Fan=2, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=3, Time=Night, Media=Playing]

User: I need to check the weather.","Good evening. Sure thing! By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>getWeather(Seattle)</TOOL>"
getWeather,weather (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>getWeather(CITY)</TOOL>
- <TOOL>prepareForParking()</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=1, AC=OFF, Fan=5, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=2, Time=Morning, Media=Unknown]

User: I need to check the weather.",<TOOL>getWeather(Seattle)</TOOL>
searchNearby,hungry (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>searchNearby(amenity)</TOOL>
- <TOOL>handleEmergencyFeeling()</TOOL>

[System Context: Speed=30mph, DriverTemp=60F, PassTemp=60F, SeatHeat=0, AC=ON, Fan=4, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=4, Time=Afternoon, Media=Paused]

User: What about the hungry?",Sure thing! <TOOL>searchNearby(coffee)</TOOL>
searchNearby,hungry (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>searchNearby(amenity)</TOOL>
- <TOOL>decreaseDriverTemperature()</TOOL>

[System Context: Speed=30mph, DriverTemp=70F, PassTemp=70F, SeatHeat=0, AC=OFF, Fan=2, HVAC=ON | DriverMood=Tired / Yawning, Occupants=1, Time=Morning, Media=Unknown]

User: Can we adjust the hungry?","Good morning! Sure thing! By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>searchNearby(coffee)</TOOL>"
searchNearby,hungry (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>searchNearby(amenity)</TOOL>
- <TOOL>enhanceNiceEvening()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=OFF, Fan=2, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=2, Time=Evening, Media=Paused]

User: Can we adjust the hungry?",<TOOL>searchNearby(coffee)</TOOL>
search,look up (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>search(search_term)</TOOL>
- <TOOL>adjustBgmForSituation()</TOOL>

[System Context: Speed=30mph, DriverTemp=60F, PassTemp=60F, SeatHeat=2, AC=ON, Fan=4, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=1, Time=Evening, Media=Unknown]

User: I need to check the look up.",Sure thing! <TOOL>search(movies)</TOOL>
search,look up (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>search(search_term)</TOOL>
- <TOOL>remember(FACT)</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=1, AC=OFF, Fan=4, HVAC=ON | DriverMood=Tired / Yawning, Occupants=3, Time=Morning, Media=Unknown]

User: What about the look up?","Good morning! Sure thing! By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>search(movies)</TOOL>"
search,look up (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>search(search_term)</TOOL>
- <TOOL>alertDriverDistraction()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=OFF, Fan=2, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=4, Time=Night, Media=Playing]

User: I need to check the look up.",<TOOL>search(movies)</TOOL>
startNavigationTo,drive to (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>startNavigationTo(""PLACE_NAME"")</TOOL>
- <TOOL>protectFromPollutedAir()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=3, AC=OFF, Fan=3, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=4, Time=Afternoon, Media=Paused]

User: I need to check the drive to.","Sure thing! <TOOL>startNavigationTo(""PLACE_Mom"")</TOOL>"
startNavigationTo,drive to (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>startNavigationTo(""PLACE_NAME"")</TOOL>
- <TOOL>suggestNearbyPlaces()</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=ON, Fan=3, HVAC=ON | DriverMood=Tired / Yawning, Occupants=3, Time=Night, Media=Playing]

User: Can we adjust the drive to?","Good evening. Sure thing! By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>startNavigationTo(""PLACE_Mom"")</TOOL>"
startNavigationTo,drive to (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>startNavigationTo(""PLACE_NAME"")</TOOL>
- <TOOL>increaseFanSpeed()</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=0, AC=ON, Fan=3, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=1, Time=Night, Media=Unknown]

User: What about the drive to?","<TOOL>startNavigationTo(""PLACE_Mom"")</TOOL>"
openTrunk,open (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>openTrunk()</TOOL>
- <TOOL>increaseDriverTemperature()</TOOL>

[System Context: Speed=0mph, DriverTemp=60F, PassTemp=60F, SeatHeat=3, AC=ON, Fan=2, HVAC=ON | DriverMood=Neutral / Focused, Occupants=1, Time=Afternoon, Media=Playing]

User: Hey, open.",I've popped the trunk. <TOOL>openTrunk()</TOOL>
openTrunk,open (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>openTrunk()</TOOL>
- <TOOL>turnOnRearDefroster()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=3, AC=ON, Fan=3, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=1, Time=Evening, Media=Paused]

User: Can you open?","I've popped the trunk. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>openTrunk()</TOOL>"
openTrunk,open (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>openTrunk()</TOOL>
- <TOOL>handleEmergencyFeeling()</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=ON, Fan=3, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=4, Time=Morning, Media=Paused]

User: Please open.",<TOOL>openTrunk()</TOOL>
setWindowPosition,roll down window (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>setWindowPosition(PCT)</TOOL>
- <TOOL>increaseTemperature(zone)</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=OFF, Fan=3, HVAC=ON | DriverMood=Neutral / Focused, Occupants=1, Time=Afternoon, Media=Playing]

User: Please help me with the roll down window.",I've adjusted the windows. <TOOL>setWindowPosition(50)</TOOL>
